,Freq,Amp,Freq,Amp,Freq,Amp,Freq,Amp,Freq,Amp,Freq,Amp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100.7032967,2.164109474,50.35164835,1.749464953,80.94505495,1.409625085,30.59340659,1.045365044,70.10989011,0.433210893,19.75824176,0.405291098,0,0,50.30192503,1.270880691,100.6038501,0.179209054,0,0,0,0,0,0,0,0,0,0,50.35468502,1.82830399,81.05876125,0.7675045,100.5865537,0.63215835,19.52779248,0.187600326,0,0,0,0,0,0,50.12943633,0.710719215,81.49060543,0.181202686,100.3799582,0.165061485,31.24008351,0.130826735,0,0,0,0,0,0,00000000000
1,100.7582748,2.264845886,50.37913741,1.788324032,80.86258776,1.398844131,30.48345035,0.978509945,70.15847543,0.421525027,19.89568706,0.381444878,0,0,50.30842333,1.327434623,100.6168467,0.202629326,0,0,0,0,0,0,0,0,0,0,50.31060606,2.197131909,81.06818182,0.885718053,100.6212121,0.653951528,19.5530303,0.224625799,0,0,0,0,0,0,50.19178082,0.801701532,81.42465753,0.200834493,100.3835616,0.190545319,31.23287671,0.139203825,0,0,0,0,0,0,00000000000
2,100.8535032,2.32556127,50.48832272,1.646534311,80.6581741,1.390556661,30.29299363,0.99531503,70.6836518,0.436383426,20.19532909,0.429934813,0,0,50.34409481,1.274506131,100.7829996,0.195335304,0,0,0,0,0,0,0,0,0,0,50.35419441,2.215226588,80.93741678,0.733418085,100.7083888,0.617587842,0,0,0,0,0,0,0,0,50.23773899,0.81234837,81.28678304,0.205527652,100.475478,0.192630894,31.04904406,0.147395844,0,0,0,0,0,0,00000000000
3,101.0850464,2.398626435,50.49576784,1.763947721,80.41918581,0.498750906,29.8299073,0.329375278,0,0,0,0,0,0,50.48602879,0.903403825,101.0702794,0.226548168,80.44369179,0.115027293,29.957663,0.110179361,0,0,0,0,0,0,50.52068127,2.351300469,80.53203569,1.809517282,100.947283,0.605618889,0,0,0,0,0,0,0,0,50.37160752,0.914215729,100.743215,0.329996353,30.51356994,0.285735361,0,0,0,0,0,0,0,0,00000000001
4,101.2433628,2.502075443,50.55752212,1.753281341,80.19911504,0.505637699,29.51327434,0.355986635,0,0,0,0,0,0,50.54545455,0.992092235,101.0909091,0.255634901,29.81818182,0.110887189,80.36363636,0.103343212,0,0,0,0,0,0,50.50497018,2.424689091,80.36978131,1.665182271,101.1252485,0.609038307,0,0,0,0,0,0,0,0,50.46297159,0.870287529,100.8178854,0.350853733,30.36422916,0.255318231,80.71914299,0.106737127,0,0,0,0,0,0,00000000001
5,101.2957746,2.473098122,50.64788732,2.009762811,80.05633803,0.524806109,29.27230047,0.332762984,0,0,0,0,0,0,50.5849387,0.870645043,101.2714536,0.261930791,29.45709282,0.125339426,80.14360771,0.100791202,0,0,0,0,0,0,50.62254395,2.542354395,80.13236815,1.782829022,101.2450879,0.692038396,0,0,0,0,0,0,0,0,50.4639076,0.94041742,101.039461,0.350545238,30.03272377,0.250249068,80.49663138,0.136996267,0,0,0,0,0,0,00000000001
6,100.1690821,2.408842155,81.81642512,1.544411693,50.01449275,1.380289121,31.66183575,1.214666983,68.50724638,0.451256861,18.352657,0.353383557,0,0,50.06005089,1.241945472,100.1201018,0.273383724,0,0,0,0,0,0,0,0,0,0,50.00248447,2.091021658,81.8484472,1.749827239,100.1490683,0.349154428,31.84596273,0.338341465,18.30062112,0.289864204,0,0,0,0,49.97732426,0.659879583,99.82312925,0.269383732,82.19954649,0.162834199,17.62358277,0.106124614,0,0,0,0,0,0,00000000010
7,100.1549439,2.314378715,81.70846075,1.666377284,50.13659531,1.524812298,31.69011213,1.025153433,68.58307849,0.404569275,18.44648318,0.398529586,0,0,50.07577497,1.302097393,100.1515499,0.292404328,0,0,0,0,0,0,0,0,0,0,50.08291203,2.136453942,81.8685541,1.74757113,100.0485339,0.349119672,31.78564206,0.339065885,18.17997978,0.309404741,0,0,0,0,49.92251309,0.729662593,99.84502618,0.267893603,82.23246073,0.143732431,17.73403141,0.096821993,0,0,0,0,0,0,00000000010
8,100.3129806,2.537807113,50.15649028,1.700302844,81.53052917,1.63721829,31.269109,1.032864532,69.04387155,0.483908696,18.88738128,0.42146696,0,0,50.15310544,1.326450783,100.3062109,0.28477961,0,0,0,0,0,0,0,0,0,0,50.12412506,2.247669562,81.62762483,1.672589028,100.2482501,0.37931051,18.72888474,0.300008347,31.50349977,0.299280678,0,0,0,0,50.02695418,0.738266515,100.0539084,0.280281118,81.91913747,0.170223884,18.13477089,0.079352379,0,0,0,0,0,0,00000000010
9,100.3814867,2.198339718,50.10939691,1.764002316,81.50911641,1.621009155,31.3997195,1.024006173,18.87237027,0.441562667,68.98176718,0.373199161,0,0,50.07194245,1.394822116,100.1438849,0.161502112,0,0,0,0,0,0,0,0,0,0,50.07318895,2.138999697,81.60716953,0.920971866,100.3196415,0.492682091,18.71247199,0.455363805,31.36071695,0.348642701,0,0,0,0,50.08308605,0.736216149,81.92284866,0.217126686,99.99406528,0.164770219,0,0,0,0,0,0,0,0,00000000100
10,100.4350282,2.019256042,50.13559322,1.827827499,81.42937853,1.547427911,31.29378531,1.127647969,18.84180791,0.399923013,69.14124294,0.383146227,0,0,50.24482109,1.259000486,100.344005,0.185547164,81.41117389,0.155348446,0,0,0,0,0,0,0,0,50.15774648,2.370659654,81.52676056,0.977119901,100.315493,0.494294953,18.62535211,0.373767012,31.53239437,0.320138366,0,0,0,0,50.01477502,0.82284721,81.79986568,0.205398396,100.02955,0.137408498,0,0,0,0,0,0,0,0,00000000100
11,100.4509254,2.236031911,50.2254627,1.959700568,81.32361189,1.348319299,30.96803141,1.046285414,69.482894,0.471583184,19.2574313,0.442816404,0,0,50.2147651,1.489349573,81.3557047,0.180221763,100.4295302,0.178487918,0,0,0,0,0,0,0,0,50.23326134,2.368552731,81.30021598,1.012421709,100.4665227,0.463667292,19.04103672,0.352206263,31.06695464,0.325261407,0,0,0,0,50.07650273,0.794596349,81.64371585,0.247280313,100.2797814,0.142654214,0,0,0,0,0,0,0,0,00000000100
12,100.1943128,2.249203616,50.02843602,1.539835153,81.77725118,1.498996647,31.61137441,1.13460071,18.41706161,0.397318105,68.58293839,0.375607164,0,0,50.0668693,1.261455276,100.1337386,0.140672711,0,0,0,0,0,0,0,0,0,0,50.11794872,2.037454666,81.79487179,0.918739485,100.0871795,0.504961734,31.82564103,0.455911885,18.29230769,0.416822293,0,0,0,0,49.97307485,0.872630822,82.20570813,0.198481835,99.82121702,0.164934018,17.74044157,0.094082426,0,0,0,0,0,0,00000001000
13,100.2330097,1.892116033,50.11650485,1.745444841,81.79126214,1.29183915,31.67475728,0.806278135,68.41747573,0.278001873,18.30097087,0.275966165,68.83980583,0.206426006,50.22680412,1.14278758,100.2941581,0.159258836,0,0,0,0,0,0,0,0,0,0,50.0761073,2.32733855,81.62694947,0.944957695,100.1522146,0.422610751,31.55084217,0.356454745,18.52526513,0.350772828,0,0,0,0,50.00758534,0.901052611,81.97724399,0.186162835,100.0151707,0.180456128,0,0,0,0,0,0,0,0,00000001000
14,100.2565834,2.120849396,50.12829169,1.851486231,81.458474,1.600414661,31.33018231,1.161034828,68.92640108,0.440870517,18.79810939,0.422033102,0,0,50.2300406,1.214093021,100.3031123,0.159115703,81.46684709,0.154813847,0,0,0,0,0,0,0,0,50.17,2.338925246,81.635,1.086147599,18.705,0.444729659,100.195,0.424912435,31.465,0.408939158,0,0,0,0,50.07407407,0.855430198,81.92592593,0.188326895,100.1481481,0.135476954,0,0,0,0,0,0,0,0,00000001000
15,99.98391421,2.099638691,50.06970509,1.828460925,81.9463807,1.563330305,31.8766756,1.111208174,18.19302949,0.40720939,68.10723861,0.338935495,0,0,50.04651163,1.372955722,0,0,0,0,0,0,0,0,0,0,0,0,49.94198473,2.307504509,81.99694656,1.020859683,99.88396947,0.535194639,17.8870229,0.382257353,32.05496183,0.289656493,0,0,0,0,49.94952681,0.791156775,82.33438486,0.136690116,99.89905363,0.133772621,0,0,0,0,0,0,0,0,00000010000
16,100.1659651,2.20428188,50.08298256,1.944311725,81.6115454,1.382694832,31.52856284,1.096787975,18.55441972,0.493388596,68.63740229,0.36432848,0,0,50.07882676,1.395788014,0,0,0,0,0,0,0,0,0,0,0,0,50.03080715,2.354158578,81.76463339,0.991377109,100.0616143,0.549726389,18.2969809,0.364418905,31.73382625,0.251015309,0,0,0,0,49.98647343,0.772752113,82.152657,0.157653185,99.86086957,0.128157418,32.16618357,0.078673341,0,0,0,0,0,0,00000010000
17,100.1237546,2.388478374,50.00104877,1.794417844,81.87519664,1.508281534,31.75249082,1.054457585,18.24855794,0.492231478,68.24960671,0.360469387,0,0,50.00337648,1.372979823,0,0,0,0,0,0,0,0,0,0,0,0,50.04385518,2.34433135,81.98674146,1.03331145,100.0877104,0.502185219,18.10096889,0.34831214,31.94288628,0.255535206,0,0,0,0,49.89658966,0.78696676,82.18261826,0.136649208,99.79317932,0.132202124,32.2860286,0.085606833,0,0,0,0,0,0,00000010000
18,100.2330097,1.906642471,50.03606103,1.850285369,81.73092926,1.174540436,31.69486824,0.900591973,68.53814147,0.43870911,18.50208044,0.386438219,0,0,50.09643606,1.280797446,100.1928721,0.140050881,81.71069182,0.136816637,0,0,0,0,0,0,0,0,50.10178817,2.271838429,100.0440165,0.435391026,81.85419532,0.334867692,0,0,0,0,0,0,0,0,50.05535841,0.821082485,99.94606104,0.319137776,81.99858055,0.17961852,32.10787793,0.177382186,0,0,0,0,0,0,00000100000
19,100.3566691,2.05564768,50.09285188,1.845123129,81.550479,1.038426894,31.28666175,0.99827862,69.07000737,0.455076748,18.80619013,0.369670911,0,0,50.18382861,1.21591462,100.2073255,0.155348196,81.60884589,0.12397988,0,0,0,0,0,0,0,0,50.19786477,2.243922401,100.230605,0.471243995,81.57153025,0.335688054,0,0,0,0,0,0,0,0,50.05479452,0.962000013,100.109589,0.29965967,81.83561644,0.190613134,31.93972603,0.147421682,0,0,0,0,0,0,00000100000
20,50.15037594,2.175539502,100.3007519,2.046078132,81.54887218,1.095573939,31.39849624,0.903765449,69.04761905,0.410722496,18.7518797,0.361557737,0,0,50.14369847,1.346141039,100.2873969,0.179709611,0,0,0,0,0,0,0,0,0,0,50.13205282,2.468038742,100.2641056,0.493788152,81.60384154,0.318066954,0,0,0,0,0,0,0,0,50.05005959,0.986617929,100.1001192,0.305137392,81.84982122,0.217546185,31.79976162,0.164207299,0,0,0,0,0,0,00000100000
21,50.02728227,1.759776623,100.0545645,1.532523355,81.79643232,1.048807331,31.76915005,0.971566112,18.25813221,0.329644621,68.28541448,0.272564536,0,0,50.01705238,1.190139658,100.0341048,0.232065553,81.94884287,0.159528089,0,0,0,0,0,0,0,0,50.05479452,2.130475883,99.97716895,0.397284017,81.96803653,0.229673759,18.14155251,0.218804433,0,0,0,0,0,0,49.98476605,1.048781361,32.31338411,0.170163728,0,0,0,0,0,0,0,0,0,0,00001000000
22,50.06238065,1.868909213,100.1247613,1.644286996,81.66518141,0.986877718,31.60280076,0.949904028,68.52196053,0.363307227,18.45957989,0.344572947,0,0,50.16216216,1.08715445,100.1675676,0.238811837,81.67027027,0.149874409,31.66486486,0.126500007,0,0,0,0,0,0,50.01287001,2.165099367,100.1750322,0.410835557,81.81209781,0.270933316,18.36293436,0.229665003,0,0,0,0,0,0,50.01197605,1.194703385,32.10645376,0.203344491,0,0,0,0,0,0,0,0,0,0,00001000000
23,100.3409211,1.910699374,50.10905241,1.725460158,81.55002647,0.981354252,31.31815776,0.954071024,69.02276337,0.376285022,18.79089465,0.321986047,0,0,50.20168067,1.190480428,100.2815126,0.222262325,81.51680672,0.172077718,0,0,0,0,0,0,0,0,50.17782218,2.185367096,100.2397602,0.405664514,81.58241758,0.305931021,18.65734266,0.250350396,0,0,0,0,0,0,50.04587604,1.283573784,31.81649585,0.199866251,0,0,0,0,0,0,0,0,0,0,00001000000
24,100.09538,1.780172873,50.13412817,1.699389959,81.7704918,1.04759671,31.63636364,0.856706752,18.32488823,0.413027744,113.4068554,0.204767555,68.45901639,0.198562705,50.11650485,1.173226573,100.2330097,0.145093671,0,0,0,0,0,0,0,0,0,0,49.95620438,1.740381536,100.0817518,0.407376155,81.79270073,0.33731135,31.83649635,0.287210067,18.11970803,0.26863398,0,0,0,0,49.93558523,1.135539469,99.87117046,0.209436334,32.25765907,0.120467339,0,0,0,0,0,0,0,0,00010000000
25,100.185834,1.925564941,50.18126428,1.714761074,81.63290175,0.972542939,31.62833206,0.836655842,18.55293222,0.421615155,0,0,0,0,50.11509591,1.250977224,100.2301918,0.17735018,0,0,0,0,0,0,0,0,0,0,50.112,2.025495363,100.0384,0.384750342,81.8496,0.370696811,31.7376,0.275382736,18.3744,0.249404403,0,0,0,0,50.02441009,1.147711162,99.86004882,0.191374526,32.091131,0.131005015,0,0,0,0,0,0,0,0,00010000000
26,50.14109742,1.942381553,100.2821948,1.836794844,81.44680851,0.891586511,31.30571109,0.809564648,18.83538634,0.414309919,68.97648376,0.226986211,0,0,50.1019796,1.186216072,100.3431314,0.179436079,81.55488902,0.128307273,0,0,0,0,0,0,0,0,50.112,2.217545327,100.224,0.437245964,81.664,0.364149409,31.552,0.255468831,18.56,0.23247185,0,0,0,0,50.06032483,1.24091944,100.1206497,0.189016441,31.89327146,0.138791494,0,0,0,0,0,0,0,0,00010000000
27,50.03194888,1.861786385,100.0638978,1.860871969,81.90415335,1.113701624,32.05750799,0.934338873,17.97444089,0.393097723,68.00638978,0.258365453,0,0,50.05628518,1.201503777,99.89493433,0.206779972,82.04878049,0.127949871,0,0,0,0,0,0,0,0,50.0230701,1.842031956,99.84028394,0.445267031,82.13664596,0.267974807,32.11357587,0.26725414,17.70363798,0.254244066,0,0,0,0,49.86520947,0.935848836,32.53916211,0.19714052,82.40437158,0.116802972,0,0,0,0,0,0,0,0,00100000000
28,100.1022951,1.996368288,50.05114754,1.948736195,81.84655738,1.24300256,31.79540984,1.011620057,18.2557377,0.386789916,68.30688525,0.293456329,0,0,49.99479167,1.34048533,99.98958333,0.21597935,82.015625,0.156485119,0,0,0,0,0,0,0,0,50.06640106,1.747640833,99.97875166,0.468101112,81.95484728,0.315086253,32.04249668,0.225427154,18.02390438,0.208243933,0,0,0,0,49.95354677,0.924504549,32.33145009,0.215529774,82.28499686,0.11277868,99.76145637,0.092499617,0,0,0,0,0,0,00100000000
29,100.1373101,1.933786276,50.1339336,1.814391644,81.72875633,1.187133483,31.59482273,0.86350701,18.40855374,0.367653704,68.54248734,0.269515946,0,0,50.01111797,1.314630161,100.0222359,0.192090159,81.82334775,0.154675343,0,0,0,0,0,0,0,0,49.96105384,1.798607509,100.0549828,0.464052275,81.98396334,0.299412367,31.89003436,0.188353249,0,0,0,0,0,0,49.88348348,0.939080848,32.32672673,0.210165411,82.21021021,0.130625369,0,0,0,0,0,0,0,0,00100000000
30,99.96342119,1.990486162,49.91931146,1.777119468,82.11726735,1.324680339,32.19795589,0.963109076,17.84615385,0.39176942,67.7654653,0.257707075,0,0,49.85809086,1.284901594,99.71618173,0.173635728,0,0,0,0,0,0,0,0,0,0,49.85578748,2.315738767,82.43263757,0.458044108,99.71157495,0.349973403,17.49905123,0.261520928,17.05882353,0.233418555,0,0,0,0,49.78493605,0.794181381,99.45997158,0.295050711,33.08005685,0.139930311,82.86499289,0.123087339,16.59497868,0.085810904,0,0,0,0,01000000000
31,100,2.217896245,49.94285714,1.746059514,82.05714286,1.394545117,32.11428571,0.927745699,17.94285714,0.45364757,67.88571429,0.265715838,0,0,50.00621762,1.154242711,99.89222798,0.233226944,0,0,0,0,0,0,0,0,0,0,49.87728337,2.160947678,82.25948478,0.73952358,99.86323185,0.44710055,17.60374707,0.404917541,32.2735363,0.28973013,0,0,0,0,49.80729654,0.925344106,99.61459308,0.288203879,82.46959775,0.14549923,32.66230122,0.110963627,0,0,0,0,0,0,01000000000
32,99.96556962,2.05128611,50.04151899,1.854346115,81.99291139,1.348911135,31.95139241,1.096206207,18.09012658,0.455056407,68.01417722,0.305712205,0,0,50.05809129,1.213151907,99.99585062,0.255590076,81.94605809,0.133037019,0,0,0,0,0,0,0,0,49.94768612,2.508154599,82.15694165,0.832683547,99.89537223,0.491063457,17.85513078,0.374483146,0,0,0,0,0,0,49.92257416,0.90655066,99.72850679,0.289364253,82.34891905,0.163883362,32.4263449,0.099366764,0,0,0,0,0,0,01000000000
